name,dong,lon,lat,in,out
명성푸르지오앞,침산3동,128.59111666666664,35.889105,216006.0,16486.0
명성푸르지오건너,침산3동,128.59126833333332,35.889005,75712.0,21795.0
침산화성파크드림앞,침산2동,128.59123713333335,35.89221098333334,161180.0,35448.0
침산화성파크드림건너,침산3동,128.59140674999998,35.89241723333335,138887.0,27068.0
성북교1,산격1동,128.59458999999998,35.89239833333333,127674.0,25469.0
성북교2,산격1동,128.5945066666667,35.89261333333333,75727.0,39757.0
시청별관건너1,산격1동,128.59782075,35.89073021666667,106955.0,32286.0
시청별관앞(구.경북도청),산격1동,128.59809666666666,35.8908,79966.0,50156.0
성북시장건너,산격1동,128.594535,35.89496,26252.0,11591.0
성북시장앞,산격1동,128.59486333333334,35.895696666666666,105377.0,29355.0
산격문화회관앞,산격1동,128.59561166666666,35.89779833333333,27910.0,25203.0
산격문화회관건너,산격1동,128.59548833333335,35.897535,97231.0,7951.0
산격주공아파트건너,산격1동,128.59638,35.900603333333336,56592.0,64359.0
산격주공아파트앞,산격1동,128.59637333333333,35.90038166666667,273080.0,40431.0
연암네거리1,산격1동,128.597375,35.901815000000006,179908.0,37506.0
연암네거리2,산격2동,128.597375,35.90193,41164.0,5402.0
백사벌네거리1,침산3동,128.58894333333333,35.89948166666667,16733.0,476.0
백사벌네거리2,침산3동,128.58901353333334,35.8998051,28393.0,15083.0
무림제지앞1,침산3동,128.58949166666667,35.89615666666667,6381.0,5205.0
북부상수도사업소,침산3동,128.58943666666667,35.89655666666667,1768.0,13652.0
무림제지건너,침산3동,128.58980333333332,35.89389166666667,10065.0,3917.0
침산초등학교후문,침산3동,128.586765,35.89307833333333,5320.0,445.0
경상여자고등학교건너,침산1동,128.58774,35.901015,41524.0,4988.0
경상여자고등학교앞,침산1동,128.58737333333332,35.900945,76858.0,56808.0
침산남영타운건너,침산1동,128.58521000000002,35.90088,33440.0,18827.0
침산남영타운앞,침산1동,128.585195,35.90075500000001,54119.0,5196.0
노원네거리1(오봉새마을금고앞),침산1동,128.5803498,35.89982345,46517.0,8411.0
노원네거리2(오봉새마을금고건너),침산1동,128.58043504999998,35.899596433333336,84588.0,5425.0
코스트코홀세일건너/복현화성타운앞,복현2동,128.61832648333333,35.90539041666667,66362.0,49202.0
코스트코홀세일앞/복현화성타운건너,산격2동,128.61864068333335,35.90597268333333,425952.0,25540.0
검단유성아파트건너,복현2동,128.62065166666667,35.90721166666665,56532.0,15680.0
검단유성아파트앞,검단동,128.62037166666667,35.90718000000001,212622.0,45467.0
성광고등학교앞,검단동,128.62438999999998,35.909983333333344,4301.0,15536.0
성광고등학교건너,검단동,128.62416000000002,35.90995833333333,130992.0,33030.0
검단동주민센터앞,검단동,128.625865,35.912965,1034.0,9375.0
검단동주민센터건너,검단동,128.62573833333332,35.912985000000006,121873.0,896.0
검단상가아파트건너,검단동,128.62629666666666,35.916588333333344,2332.0,303.0
검단유성아파트(서편),검단동,128.61861666666667,35.90697,115214.0,21804.0
경동산업앞,산격2동,128.61202999999998,35.91133166666667,262.0,4.0
대구우편집중국앞,산격2동,128.614955,35.909825,33016.0,26359.0
엑스코건너,산격2동,128.61060091666664,35.90781185,57424.0,20140.0
텍스빌,산격2동,128.60933500000002,35.906836666666656,94619.0,13500.0
복현네거리,복현2동,128.62380673333334,35.89182023333333,58354.0,98301.0
복현푸르지오아파트건너,신암4동,128.62367833333334,35.89167333333333,171187.0,15371.0
영진고등학교앞,복현2동,128.62133833333334,35.89290666666667,444261.0,169159.0
영진고등학교건너,복현1동,128.620015,35.89351,277934.0,37119.0
영진전문대학후문앞,복현2동,128.61874333333333,35.89478166666667,366321.0,139912.0
영진전문대학후문건너,복현1동,128.6181083333333,35.895016666666656,297477.0,65535.0
복현오거리1,복현1동,128.61561666666665,35.89700000000001,546293.0,94605.0
신세계병원건너,산격2동,128.61408833333334,35.89817333333335,218993.0,150707.0
신세계병원앞,산격3동,128.61338999999998,35.898336666666665,94932.0,104158.0
산격대우아파트앞,산격2동,128.61154666666667,35.899226666666664,598171.0,91461.0
산격종합시장앞,산격3동,128.61052999999998,35.89938499999999,609636.0,166879.0
산격중학교앞,산격2동,128.608445,35.900954999999996,106072.0,21152.0
산격중학교건너,산격4동,128.60854666666668,35.90060500000001,110182.0,127592.0
상수도사업본부시설관리소건너,산격2동,128.60261666666665,35.90245833333333,98378.0,17934.0
상수도사업본부시설관리소앞,산격1동,128.60307,35.902363333333334,14351.0,15408.0
대원유치원앞,산격4동,128.6067942,35.89833586666667,135708.0,11021.0
대원유치원건너,산격3동,128.60666304999998,35.898030199999994,81839.0,81934.0
산격초등학교건너,산격4동,128.60525166666667,35.895405,135095.0,8772.0
산격초등학교앞,산격3동,128.6053062,35.89442105000001,103911.0,14984.0
산격4동행정복지센터앞,산격4동,128.60513638333333,35.89313083333333,80594.0,9593.0
산격4동행정복지센터건너,산격3동,128.6052903,35.89206093333335,12419.0,3025.0
대구은행산격지점앞,산격4동,128.60517166666665,35.89088333333333,11062.0,5172.0
경북대체육센터앞,산격3동,128.60479333333333,35.890151666666654,61948.0,63805.0
경북대학교서문건너,산격4동,128.60297833333334,35.88892999999999,86255.0,17476.0
